model_name,accuracy,precision,recall,f1
KNeighborsUnif,0.8941176470588236,0.9220726234190127,0.7818399044205496,0.8131650957737914
KNeighborsDist,0.8941176470588236,0.9220726234190127,0.7818399044205496,0.8131650957737914
NeuralNetFastAI,0.9529411764705882,0.9619047619047619,0.9111111111111111,0.9305555555555555
LightGBMXT,0.9294117647058824,0.9459459459459459,0.8074074074074075,0.8386377887369295
LightGBM,0.9294117647058824,0.9459459459459459,0.837037037037037,0.867774382480265
RandomForestGini,0.9294117647058824,0.9459459459459459,0.8074074074074075,0.8386377887369295
RandomForestEntr,0.9294117647058824,0.9459459459459459,0.8074074074074075,0.8386377887369295
CatBoost,0.9411764705882353,0.9537037037037037,0.8444444444444444,0.8761409645192976
ExtraTreesGini,0.9058823529411765,0.9316239316239315,0.7925925925925926,0.8222053808260705
ExtraTreesEntr,0.9058823529411765,0.9316239316239315,0.7925925925925926,0.8222053808260705
XGBoost,0.9411764705882353,0.9537037037037037,0.8444444444444444,0.8761409645192976
NeuralNetTorch,0.9058823529411765,0.8761904761904763,0.9044205495818399,0.8873565375113363
LightGBMLarge,0.9294117647058824,0.9459459459459459,0.8074074074074075,0.8386377887369295
WeightedEnsemble_L2,0.9294117647058824,0.9459459459459459,0.837037037037037,0.867774382480265
