,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
0,AutoETS,-0.1466487026673098,-0.1355663033495535,18.36979103088379,17.45158290863037,0.026556968688964844,7
1,AutoARIMA,-0.2759925250734118,-0.2473470325171976,11.80405330657959,10.687258958816528,0.02828073501586914,8
2,DynamicOptimizedTheta,-0.29581596529852955,-0.14457140444872588,18.207300424575806,17.610018491744995,0.016672849655151367,6
3,CrostonSBA,-0.40181120774317536,-0.1435815486727968,8.035600185394287,7.136471271514893,0.017551183700561523,4
4,SeasonalNaive,-0.6445714580125735,-0.1730742821812586,1.7462451457977295,1.2567214965820312,0.019062280654907227,1
5,DirectTabular,-1.8192502082106625,-0.10232885276716504,0.06450319290161133,0.04686713218688965,0.9438583850860596,3
6,RecursiveTabular,-2.0449676464966524,-0.27313955512023586,0.1841428279876709,0.9803273677825928,2.4945101737976074,2
7,Chronos[base],-2.098143900547966,-0.11275390139412357,1.929734468460083,3.588829278945923,0.012021064758300781,9
8,PatchTST,-2.2019550262753733,-0.1847564484335321,0.03609180450439453,0.013453483581542969,19.123584270477295,12
9,NPTS,-2.3450137192542595,-0.219199586404025,1.858156442642212,0.8271965980529785,0.02238178253173828,5
10,TemporalFusionTransformer,-2.5896016746403245,-0.08610360574108149,0.09282946586608887,0.028636932373046875,47.01290202140808,10
11,WeightedEnsemble,-2.809951360428796,-0.06464540090317711,28.5513813495636,26.47729468345642,1.0330495834350586,13
12,DeepAR,-3.1108510590110203,-0.0697725643727148,0.0982656478881836,0.08171653747558594,21.037699937820435,11
