model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
KNeighborsUnif,0.8823529411764706,0.8518518518518519,accuracy,0.0009834766387939453,0.09629201889038086,0.021386146545410156,0.0009834766387939453,0.09629201889038086,0.021386146545410156,1,True,1
KNeighborsDist,0.8823529411764706,0.8518518518518519,accuracy,0.0010693073272705078,0.05809736251831055,0.025119543075561523,0.0010693073272705078,0.05809736251831055,0.025119543075561523,1,True,2
NeuralNetFastAI,0.8823529411764706,1.0,accuracy,0.010578632354736328,0.004865884780883789,2.135261297225952,0.010578632354736328,0.004865884780883789,2.135261297225952,1,True,3
WeightedEnsemble_L2,0.8823529411764706,1.0,accuracy,0.012398004531860352,0.005352497100830078,2.23246169090271,0.0018193721771240234,0.00048661231994628906,0.09720039367675781,2,True,14
LightGBM,0.8235294117647058,0.9629629629629629,accuracy,0.00104522705078125,0.0004773139953613281,0.27091169357299805,0.00104522705078125,0.0004773139953613281,0.27091169357299805,1,True,5
LightGBMXT,0.8235294117647058,0.9259259259259259,accuracy,0.0019893646240234375,0.0006334781646728516,0.2914853096008301,0.0019893646240234375,0.0006334781646728516,0.2914853096008301,1,True,4
LightGBMLarge,0.8235294117647058,1.0,accuracy,0.002121448516845703,0.0007450580596923828,0.6209678649902344,0.002121448516845703,0.0007450580596923828,0.6209678649902344,1,True,13
CatBoost,0.8235294117647058,0.9629629629629629,accuracy,0.006125688552856445,0.0007889270782470703,0.6452465057373047,0.006125688552856445,0.0007889270782470703,0.6452465057373047,1,True,8
NeuralNetTorch,0.8235294117647058,0.9259259259259259,accuracy,0.012281417846679688,0.00478363037109375,1.276580572128296,0.012281417846679688,0.00478363037109375,1.276580572128296,1,True,12
XGBoost,0.8235294117647058,1.0,accuracy,0.031058549880981445,0.002126455307006836,0.21814274787902832,0.031058549880981445,0.002126455307006836,0.21814274787902832,1,True,11
RandomForestGini,0.8235294117647058,0.9629629629629629,accuracy,0.04738807678222656,0.04539775848388672,0.862241268157959,0.04738807678222656,0.04539775848388672,0.862241268157959,1,True,6
RandomForestEntr,0.8235294117647058,0.9629629629629629,accuracy,0.062165260314941406,0.0625605583190918,0.7836482524871826,0.062165260314941406,0.0625605583190918,0.7836482524871826,1,True,7
ExtraTreesEntr,0.8235294117647058,0.9259259259259259,accuracy,0.06994843482971191,0.05097055435180664,0.7517585754394531,0.06994843482971191,0.05097055435180664,0.7517585754394531,1,True,10
ExtraTreesGini,0.8235294117647058,0.9259259259259259,accuracy,0.07465267181396484,0.05660438537597656,0.8221626281738281,0.07465267181396484,0.05660438537597656,0.8221626281738281,1,True,9
